Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Adjusted Proceeds,Proceeds Diff
Trades,Data,Order,Stocks,USD,MARA,2025-01-30 10:47:06,-500.0,19.4,19.18,9700.0,-3.1284744,-9349.25007,347.621455,110.0,C,9700.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-01-30 10:54:38,500.0,19.3,19.18,-9650.0,-2.744075,9652.744075,0.0,-60.0,O,-9650.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-01-30 11:25:30,-500.0,19.42,19.18,9710.0,-3.12877742,-9577.250069,129.621153,120.0,C;P,9710.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-01-30 15:13:15,500.0,19.4,19.18,-9700.0,-2.744075,9702.744075,0.0,-110.0,O,-9700.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-02-03 09:30:02,500.0,16.92,17.95,-8460.0,-2.744075,8462.744075,0.0,515.0,O,-8460.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-02-03 09:31:02,-500.0,17.12,17.95,8560.0,-3.09393012,-9630.748871,-1073.842801,-415.0,C,8560.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-02-21 10:12:05,350.0,16.225,14.66,-5678.75,-1.925049,5680.675049,0.0,-547.75,O,-5678.75,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-12 09:53:59,-350.0,16.6,15.95,5810.0,-2.16023612,-6756.920853,-949.081089,227.5,C,5810.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-12 11:56:47,500.0,16.0,15.95,-8000.0,-2.744075,8002.744075,0.0,-25.0,O,-8000.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-12 13:13:19,-500.0,16.11,15.95,8055.0,-3.07862761,-9697.744076,-1645.822702,80.0,C,8055.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-12 13:22:49,500.0,15.95,15.95,-7975.0,-2.744075,7977.744075,0.0,0.0,O;P,-7975.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-12 13:30:19,-500.0,16.05,15.95,8025.0,-3.07771855,-8586.744076,-564.821793,50.0,C,8025.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-13 13:37:42,500.0,16.1,16.37,-8050.0,-2.744075,8052.744075,0.0,135.0,O,-8050.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-13 13:47:25,-500.0,16.2,16.37,8100.0,-3.0799912,-8127.498272,-30.578263,-85.0,C;P,8100.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-14 13:16:52,500.0,15.9,15.87,-7950.0,-2.744075,7952.744075,0.0,-15.0,O,-7950.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-14 15:33:30,-500.0,16.05,15.87,8025.0,-2.834545,-7998.289074,23.876381,90.0,C,8025.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-15 10:30:53,-400.0,15.405,15.68,6162.0,-2.272432,-6381.650261,-221.922693,-110.0,C,6162.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-05-21 13:43:45,600.0,15.99,15.84,-9594.0,-3.29289,9597.29289,0.0,-90.0,O;P,-9594.0,0.0
