Price,AMZN,GOOG,GPRO,MSFT,NET,NVDA,SE,SPY,TSLA,AAPL,AXP,CMG,GOOGL,IBIT,MARA,NU,ORCL
Ticker,AMZN,GOOG,GPRO,MSFT,NET,NVDA,SE,SPY,TSLA,AAPL,AXP,CMG,GOOGL,IBIT,MARA,NU,ORCL
Date,,,,,,,,,,,,,,,,,
2024-01-24,156.8699951171875,149.4615936279297,3.240000009536743,398.0417175292969,82.33000183105469,61.3347053527832,39.2599983215332,476.39691162109375,207.8300018310547,193.0860137939453,182.7130584716797,46.69599914550781,147.81350708007812,22.600000381469727,15.649999618530273,9.0,112.44490051269531
2024-01-25,157.75,152.73214721679688,3.240000009536743,400.3258056640625,81.86000061035156,61.589595794677734,39.400001525878906,478.9880065917969,182.6300048828125,192.7584228515625,184.92544555664062,46.23540115356445,150.964599609375,22.760000228881836,16.270000457763672,9.329999923706055,113.12364196777344
2024-01-26,159.1199951171875,152.88125610351562,3.200000047683716,399.3963317871094,80.18000030517578,61.00385284423828,39.56999969482422,478.3794860839844,183.25,191.0211181640625,198.0620574951172,46.525001525878906,151.28269958496094,23.989999771118164,17.850000381469727,9.5,112.7695083618164
2024-01-29,161.25999450683594,153.925048828125,3.2200000286102295,405.121337890625,84.30000305175781,62.437217712402344,40.630001068115234,482.1679382324219,190.92999267578125,190.33615112304688,197.5015869140625,48.090599060058594,152.59481811523438,24.670000076293945,18.520000457763672,9.369999885559082,111.89402770996094
2024-01-30,159.0,152.1456298828125,3.0899999141693115,404.0040283203125,82.95999908447266,62.74607467651367,39.25,481.7950134277344,191.58999633789062,186.67295837402344,200.73658752441406,48.38560104370117,150.5570526123047,24.8799991607666,18.110000610351562,8.779999732971191,112.2973403930664
2024-01-31,155.1999969482422,140.96209716796875,2.9800000190734863,393.11761474609375,79.05000305175781,61.4996337890625,38.13999938964844,473.9334716796875,187.2899932861328,183.05941772460938,197.38360595703125,48.17539978027344,139.26478576660156,24.299999237060547,17.729999542236328,8.609999656677246,109.87747955322266
2024-02-01,159.27999877929688,141.8667449951172,3.059999942779541,399.2480163574219,79.58999633789062,62.998966217041016,40.470001220703125,480.1363525390625,188.86000061035156,185.50155639648438,199.82211303710938,48.84040069580078,140.31846618652344,24.540000915527344,18.600000381469727,9.010000228881836,113.64498138427734
2024-02-02,171.80999755859375,142.69180297851562,2.9600000381469727,406.6044921875,82.6500015258789,66.13056945800781,42.02000045776367,485.19091796875,187.91000366210938,184.49891662597656,202.95880126953125,49.645599365234375,141.53118896484375,24.5,18.200000762939453,9.369999885559082,113.90074920654297
2024-02-05,170.30999755859375,144.07359313964844,2.859999895095825,401.09698486328125,80.81999969482422,69.30116271972656,41.869998931884766,483.42425537109375,181.05999755859375,186.31556701660156,202.49664306640625,49.41699981689453,142.8234405517578,24.190000534057617,16.639999389648438,9.270000457763672,114.490966796875
2024-02-06,169.14999389648438,144.55078125,2.990000009536743,400.9388122558594,81.58999633789062,68.19265747070312,42.38999938964844,484.8277587890625,185.10000610351562,187.92381286621094,202.21148681640625,49.754798889160156,143.24093627929688,24.600000381469727,17.059999465942383,9.380000114440918,113.41873931884766
2024-02-07,170.52999877929688,145.81326293945312,2.9000000953674316,409.40277099609375,83.3499984741211,70.06781768798828,43.61000061035156,488.8714294433594,187.5800018310547,188.03302001953125,205.58416748046875,53.33980178833008,144.67236328125,25.219999313354492,17.540000915527344,9.5600004196167,115.35660552978516
2024-02-08,169.83999633789062,146.35008239746094,2.5799999237060547,409.46209716796875,90.30999755859375,69.61002349853516,43.34000015258789,489.0873107910156,189.55999755859375,186.95095825195312,207.67855834960938,52.40959930419922,145.0401611328125,26.030000686645508,21.579999923706055,9.640000343322754,114.77622985839844
2024-02-09,174.4499969482422,149.33233642578125,2.569999933242798,415.82977294921875,107.91999816894531,72.1009292602539,43.5099983215332,491.91400146484375,193.57000732421875,187.71632385253906,208.91749572753906,52.766998291015625,148.11172485351562,27.149999618530273,23.889999389648438,9.890000343322754,114.73687744140625
2024-02-12,172.33999633789062,147.85116577148438,2.5799999237060547,410.59918212890625,105.62000274658203,72.21586608886719,43.540000915527344,491.69805908203125,188.1300048828125,186.02650451660156,208.71099853515625,52.16460037231445,146.6505126953125,28.65999984741211,27.280000686645508,9.880000114440918,113.94992065429688
2024-02-13,168.63999938964844,145.50509643554688,2.390000104904175,401.759521484375,99.87999725341797,72.09593200683594,41.9900016784668,484.9259338378906,184.02000427246094,183.92918395996094,206.16429138183594,51.9827995300293,144.2747344970703,28.219999313354492,25.719999313354492,9.920000076293945,111.82516479492188
2024-02-14,170.97999572753906,146.2705535888672,2.390000104904175,405.6426696777344,104.37000274658203,73.86713409423828,42.689998626708984,489.33270263671875,188.7100067138672,183.0445098876953,207.37371826171875,52.40380096435547,145.06996154785156,29.549999237060547,29.40999984741211,10.369999885559082,112.39570617675781
2024-02-15,169.8000030517578,143.08944702148438,2.490000009536743,402.7402038574219,101.22000122070312,72.62567901611328,43.9900016784668,492.708984375,200.4499969482422,182.7562713623047,208.97647094726562,52.36000061035156,141.91883850097656,29.520000457763672,27.020000457763672,10.460000038146973,110.93986511230469
2024-02-16,169.50999450683594,140.9223175048828,2.369999885559082,400.2637023925781,98.5199966430664,72.58070373535156,44.9900016784668,490.2553405761719,199.9499969482422,181.215576171875,209.00596618652344,51.96860122680664,139.68228149414062,29.6200008392334,26.940000534057617,10.359999656677246,109.49385070800781
2024-02-20,167.0800018310547,141.3597412109375,2.259999990463257,399.0056457519531,97.98999786376953,69.4211196899414,44.689998626708984,487.5562744140625,193.75999450683594,180.4700469970703,208.9371337890625,51.604000091552734,140.27870178222656,29.670000076293945,24.510000228881836,10.260000228881836,106.68051147460938
2024-02-21,168.58999633789062,142.9900360107422,2.259999990463257,398.4013366699219,95.08999633789062,67.4419937133789,44.209999084472656,487.9978942871094,194.77000427246094,181.22552490234375,207.36387634277344,51.38959884643555,141.70018005371094,29.079999923706055,22.899999618530273,10.09000015258789,106.3952407836914
2024-02-22,174.5800018310547,144.4613037109375,2.180000066757202,407.7823791503906,99.47000122070312,78.50306701660156,44.45000076293945,498.0972595214844,197.41000366210938,183.26321411132812,210.4120635986328,52.547401428222656,143.23098754882812,29.719999313354492,24.559999465942383,10.359999656677246,109.19874572753906
2024-02-23,174.99000549316406,144.43148803710938,2.2200000286102295,406.48468017578125,98.44999694824219,78.78194427490234,45.02000045776367,498.4407653808594,191.97000122070312,181.42430114746094,210.97251892089844,52.93439865112305,143.10177612304688,29.15999984741211,23.989999771118164,10.220000267028809,110.12340545654297
2024-02-26,174.72999572753906,137.93011474609375,2.240000009536743,403.71099853515625,99.08000183105469,79.05683135986328,45.36000061035156,496.615234375,199.39999389648438,180.0724639892578,213.33241271972656,53.20899963378906,136.7498779296875,31.1200008392334,29.190000534057617,10.720000267028809,109.15939331054688
